Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Sales engineers,50251,3909.0,45359,3660.0,4892,1089.0,9.7,2.0,127221,7689,129371,9436,113766,14149,(X),(X),2022,0.009873189257695609,sales engineers,41-9031.00,Sales Engineers,41-9031,Sales Engineers,sales engineers
Telemarketers,16248,2683.0,5706,1778.0,10542,2025.0,64.9,8.4,34728,4050,36238,7011,33773,4809,(X),(X),2022,0.02127619811010366,telemarketers,41-9041.00,Telemarketers,41-9041,Telemarketers,telemarketers
Doortodoor sales workers news and street vendors and related workers,38869,3841.0,23154,3611.0,15715,1939.0,40.4,5.2,41300,2096,45696,5207,33846,3257,74.1,11.2,2022,0.03171651046293673,doortodoor sales workers news and street vendors and related workers,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",doortodoor sales workers news and street vendors and related workers
Sales and related workers all other,289962,10802.0,152089,8102.0,137873,5979.0,47.5,1.6,50709,1920,61359,3223,41194,2016,67.1,4.5,2022,0.2782596530102753,sales and related workers all other,41-9099.00,"Sales and Related Workers, All Other",41-9099,"Sales and Related Workers, All Other",sales and related workers all other
Office and Administrative Support Occupations,12196123,68817.0,3378577,35701.0,8817546,56883.0,72.3,0.2,44038,159,50124,285,42303,112,84.4,0.5,2022,17.795850459206232,office and administrative support occupations,,,,,
FirstLine supervisors of office and administrative support workers,953207,18108.0,323571,11456.0,629636,14067.0,66.1,0.9,57333,691,66794,1450,53106,620,79.5,1.9,2022,1.2707513065123532,firstline supervisors of office and administrative support workers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,43-1011,First-Line Supervisors of Office and Administrative Support Workers,firstline supervisors of office and administrative support workers
Switchboard operators including answering service,11874,1886.0,2928,1376.0,8946,1526.0,75.3,9.8,40252,3405,48845,29342,39214,3752,(X),(X),2022,0.018055100388255297,switchboard operators including answering service,43-2011.00,"Switchboard Operators, Including Answering Service",43-2011,"Switchboard Operators, Including Answering Service",switchboard operators including answering service
Telephone operators,15731,2451.0,6116,1805.0,9615,1925.0,61.1,8.9,39341,4946,47477,7751,35736,4167,(X),(X),2022,0.019405297365646623,telephone operators,43-2021.00,Telephone Operators,43-2021,Telephone Operators,telephone operators
Communications equipment operators all other,5668,1349.0,3095,952.0,2573,893.0,45.4,11.2,51271,2627,51447,3634,51014,16842,(X),(X),2022,0.005192910049070073,communications equipment operators all other,43-2099.00,"Communications Equipment Operators, All Other",43-2099,"Communications Equipment Operators, All Other",communications equipment operators all other
Bill and account collectors,105008,6418.0,27962,3422.0,77046,5472.0,73.4,2.8,42864,1377,44797,6073,42284,1151,94.4,12.3,2022,0.15549667611373996,bill and account collectors,43-3011.00,Bill and Account Collectors,43-3011,Bill and Account Collectors,bill and account collectors
Billing and posting clerks,370927,10684.0,48936,4084.0,321991,10898.0,86.8,1.1,41977,348,50728,1900,41328,401,81.5,3.4,2022,0.6498524289195966,billing and posting clerks,43-3021.00,Billing and Posting Clerks,43-3021,Billing and Posting Clerks,billing and posting clerks
Bookkeeping accounting and auditing clerks,850499,16937.0,115992,7690.0,734507,14623.0,86.4,0.8,47035,505,51198,1164,46557,516,90.9,2.2,2022,1.4824052784346338,bookkeeping accounting and auditing clerks,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",bookkeeping accounting and auditing clerks
Gambling cage workers,7341,1242.0,2408,829.0,4933,1250.0,67.2,10.9,31780,4019,31393,8330,32494,6325,(X),(X),2022,0.00995593675556264,gambling cage workers,43-3041.00,Gambling Cage Workers,43-3041,Gambling Cage Workers,gambling cage workers
Payroll and timekeeping clerks,124075,6167.0,16920,2499.0,107155,5388.0,86.4,1.8,51778,1133,53940,4272,51433,1121,95.4,7.2,2022,0.21626361302297076,payroll and timekeeping clerks,43-3051.00,Payroll and Timekeeping Clerks,43-3051,Payroll and Timekeeping Clerks,payroll and timekeeping clerks
Procurement clerks,36330,3317.0,17550,2449.0,18780,2574.0,51.7,5.2,61387,4305,64556,5828,57749,5856,89.5,11.9,2022,0.03790239048641118,procurement clerks,43-3061.00,Procurement Clerks,43-3061,Procurement Clerks,procurement clerks
Tellers,167582,7656.0,23650,2921.0,143932,6992.0,85.9,1.6,33782,720,36047,1849,33404,727,92.7,5.3,2022,0.29048811860969836,tellers,43-3071.00,Tellers,43-3071,Tellers,tellers
Financial clerks all other,104481,6119.0,39337,3785.0,65144,4473.0,62.4,2.6,61535,3261,88556,14054,51929,2049,58.6,9.8,2022,0.13147568295243717,financial clerks all other,43-3099.00,"Financial Clerks, All Other",43-3099,"Financial Clerks, All Other",financial clerks all other
Brokerage clerks,5847,1579.0,1654,782.0,4193,1374.0,71.7,11.7,53382,9072,61194,10617,47374,11149,(X),(X),2022,0.00846244533064548,brokerage clerks,43-4011.00,Brokerage Clerks,43-4011,Brokerage Clerks,brokerage clerks
Correspondence clerks,4848,1377.0,1518,788.0,3330,1097.0,68.7,13.5,45744,9247,54600,24686,41658,9568,(X),(X),2022,0.006720711412127223,correspondence clerks,43-4021.00,Correspondence Clerks,43-4021,Correspondence Clerks,correspondence clerks
Court municipal and license clerks,73774,5004.0,12604,1734.0,61170,4835.0,82.9,2.3,44356,1581,52170,3762,43050,1500,82.5,6.9,2022,0.12345523035430096,court municipal and license clerks,43-4031.00,"Court, Municipal, and License Clerks",43-4031,"Court, Municipal, and License Clerks",court municipal and license clerks
