Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.10,Wind Energy Engineers,17-2199,"Engineers, All Other",engineers all other
Engineers all other,596232,15362.0,512871,13754.0,83361,5789.0,14.0,0.9,107364,927,108357,1452,103741,1780,95.7,2.1,2022,0.16824180901691815,engineers all other,17-2199.11,Solar Energy Systems Engineers,17-2199,"Engineers, All Other",engineers all other
Architectural and civil drafters,43627,3527.0,36080,3446.0,7547,1368.0,17.3,3.1,64223,1650,64941,3029,61212,4332,94.3,8.7,2022,0.015231594302499745,architectural and civil drafters,17-3011.00,Architectural and Civil Drafters,17-3011,Architectural and Civil Drafters,architectural and civil drafters
Other drafters,77558,4756.0,63873,4448.0,13685,1980.0,17.6,2.4,62913,1325,63541,1242,56194,5665,88.4,9,2022,0.027619500202691008,other drafters,,,,,
Electrical and electronic engineering technologists and technicians,93709,5893.0,84379,5615.0,9330,2318.0,10.0,2.4,69010,3727,71105,2293,49612,16263,(X),(X),2022,0.018830101343887986,electrical and electronic engineering technologists and technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,17-3023,Electrical and Electronic Engineering Technologists and Technicians,electrical and electronic engineering technologists and technicians
Other engineering technologists and technicians except drafters,412315,12035.0,331462,10771.0,80853,4700.0,19.6,1.0,63817,890,66660,1060,52072,1611,78.1,2.8,2022,0.16318008402544215,other engineering technologists and technicians except drafters,,,,,
Surveying and mapping technicians,60327,5175.0,55215,4989.0,5112,1320.0,8.5,2.1,55964,2967,56945,3234,46909,9167,(X),(X),2022,0.01031720022186017,surveying and mapping technicians,17-3031.00,Surveying and Mapping Technicians,17-3031,Surveying and Mapping Technicians,surveying and mapping technicians
Life Physical and Social Science Occupations,1501291,23246.0,806819,17060.0,694472,15455.0,46.3,0.8,78172,1117,82726,1175,73766,963,89.2,1.8,2022,1.4016053741149601,life physical and social science occupations,,,,,
Agricultural and food scientists,32717,2720.0,22313,2426.0,10404,1760.0,31.8,4.7,81318,4062,86371,7368,74307,6630,86,10.5,2022,0.020997682141673163,agricultural and food scientists,,,,,
Biological scientists,84269,4203.0,44954,3493.0,39315,2960.0,46.7,2.9,74822,2142,78593,3905,71622,2787,91.1,5.8,2022,0.07934677752786239,biological scientists,,,,,
Conservation scientists and foresters,26456,2744.0,17493,2071.0,8963,1896.0,33.9,5.5,65619,5003,70267,5587,59710,5807,85,11.2,2022,0.018089410326395286,conservation scientists and foresters,,,,,
Medical scientists,141106,7028.0,60923,4467.0,80183,5626.0,56.8,2.5,83891,2239,88366,7319,81833,3036,92.6,8.3,2022,0.16182786881639555,medical scientists,,,,,
Life scientists all other,7026,1403.0,2838,872.0,4188,1054.0,59.6,9.3,76793,7797,79274,22808,73406,12414,(X),(X),2022,0.008452354172369012,life scientists all other,19-1099.00,"Life Scientists, All Other",19-1099,"Life Scientists, All Other",life scientists all other
Astronomers and physicists,16327,1736.0,13613,1607.0,2714,775.0,16.6,4.4,116101,17499,128655,21004,102606,17799,(X),(X),2022,0.005477480712466451,astronomers and physicists,,,,,
Atmospheric and space scientists,12266,1983.0,10446,1814.0,1820,629.0,14.8,4.6,89092,7146,90551,9077,83784,18446,(X),(X),2022,0.0036731816126340977,atmospheric and space scientists,19-2021.00,Atmospheric and Space Scientists,19-2021,Atmospheric and Space Scientists,atmospheric and space scientists
Chemists and materials scientists,96014,4717.0,59299,4078.0,36715,2973.0,38.2,2.7,82181,2484,91206,3740,70382,3889,77.2,5.3,2022,0.0740993752240994,chemists and materials scientists,,,,,
Environmental scientists and specialists including health,39059,3610.0,22962,3044.0,16097,2172.0,41.2,4.8,75530,3218,76256,4439,73856,6056,96.9,10.2,2022,0.03248747495525883,environmental scientists and specialists including health,19-2041.00,"Environmental Scientists and Specialists, Including Health",19-2041,"Environmental Scientists and Specialists, Including Health",environmental scientists and specialists including health
Environmental scientists and specialists including health,39059,3610.0,22962,3044.0,16097,2172.0,41.2,4.8,75530,3218,76256,4439,73856,6056,96.9,10.2,2022,0.03248747495525883,environmental scientists and specialists including health,19-2041.01,Climate Change Policy Analysts,19-2041,"Environmental Scientists and Specialists, Including Health",environmental scientists and specialists including health
Environmental scientists and specialists including health,39059,3610.0,22962,3044.0,16097,2172.0,41.2,4.8,75530,3218,76256,4439,73856,6056,96.9,10.2,2022,0.03248747495525883,environmental scientists and specialists including health,19-2041.02,Environmental Restoration Planners,19-2041,"Environmental Scientists and Specialists, Including Health",environmental scientists and specialists including health
Environmental scientists and specialists including health,39059,3610.0,22962,3044.0,16097,2172.0,41.2,4.8,75530,3218,76256,4439,73856,6056,96.9,10.2,2022,0.03248747495525883,environmental scientists and specialists including health,19-2041.03,Industrial Ecologists,19-2041,"Environmental Scientists and Specialists, Including Health",environmental scientists and specialists including health
Geoscientists and hydrologists except geographers,39288,3315.0,31081,2895.0,8207,1303.0,20.9,2.9,92283,5886,92221,8657,92644,9473,100.5,13.5,2022,0.01656362719499343,geoscientists except hydrologists and geographers,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19-2042,"Geoscientists, Except Hydrologists and Geographers",geoscientists except hydrologists and geographers
Geoscientists and hydrologists except geographers,39288,3315.0,31081,2895.0,8207,1303.0,20.9,2.9,92283,5886,92221,8657,92644,9473,100.5,13.5,2022,0.01656362719499343,hydrologists,19-2043.00,Hydrologists,19-2043,Hydrologists,hydrologists
Physical scientists all other,334095,10862.0,189597,8822.0,144498,6736.0,43.3,1.7,92068,1869,101138,1989,82357,2302,81.4,2.7,2022,0.2916304377265944,physical scientists all other,19-2099.00,"Physical Scientists, All Other",19-2099,"Physical Scientists, All Other",physical scientists all other
Physical scientists all other,334095,10862.0,189597,8822.0,144498,6736.0,43.3,1.7,92068,1869,101138,1989,82357,2302,81.4,2.7,2022,0.2916304377265944,physical scientists all other,19-2099.01,Remote Sensing Scientists and Technologists,19-2099,"Physical Scientists, All Other",physical scientists all other
Economists,31323,2505.0,19004,2044.0,12319,1811.0,39.3,4.6,128589,4795,143243,21812,119646,7829,83.5,14,2022,0.02486259576156014,economists,19-3011.00,Economists,19-3011,Economists,economists
Economists,31323,2505.0,19004,2044.0,12319,1811.0,39.3,4.6,128589,4795,143243,21812,119646,7829,83.5,14,2022,0.02486259576156014,economists,19-3011.01,Environmental Economists,19-3011,Economists,economists
Survey researchers,1520,650.0,485,339.0,1035,629.0,68.1,22.1,74009,23907,106362,62441,61570,21776,(X),(X),2022,0.0020888697632287312,survey researchers,19-3022.00,Survey Researchers,19-3022,Survey Researchers,survey researchers
Clinical and counseling psychologists,14269,1849.0,4883,1265.0,9386,1420.0,65.8,6.9,115071,8836,124647,6457,104725,10176,(X),(X),2022,0.018943122316584418,clinical and counseling psychologists,19-3033.00,Clinical and Counseling Psychologists,19-3033,Clinical and Counseling Psychologists,clinical and counseling psychologists
School psychologists,40631,3517.0,5377,1391.0,35254,3101.0,86.8,3.0,80752,2145,82558,9297,80587,2233,(X),(X),2022,0.07115073877571565,school psychologists,19-3034.00,School Psychologists,19-3034,School Psychologists,school psychologists
Other psychologists,109751,6018.0,31752,3044.0,77999,4979.0,71.1,2.3,96483,2983,106467,5203,89723,5675,84.3,6.6,2022,0.15742005088123462,other psychologists,,,,,
Sociologists,3113,1284.0,695,494.0,2418,983.0,77.7,11.0,86715,10804,86983,12514,86460,17488,(X),(X),2022,0.004880084142499587,sociologists,19-3041.00,Sociologists,19-3041,Sociologists,sociologists
Urban and regional planners,36742,3425.0,20347,2690.0,16395,2269.0,44.6,4.8,83800,4932,89119,8209,75641,7362,84.9,13.4,2022,0.03308890798853628,urban and regional planners,19-3051.00,Urban and Regional Planners,19-3051,Urban and Regional Planners,urban and regional planners
Miscellaneous social scientists and related workers,41092,3704.0,20909,2772.0,20183,2404.0,49.1,4.4,90051,5895,93580,7098,85214,10107,91.1,12.6,2022,0.04073396949878791,miscellaneous social scientists and related workers,,,,,
Agricultural and food science technicians,37352,3505.0,24576,2718.0,12776,2068.0,34.2,4.3,53646,1539,55667,5100,48415,4731,87,11.5,2022,0.025784927628029246,agricultural and food science technicians,,,,,
Biological technicians,18891,2229.0,8815,1306.0,10076,1741.0,53.3,5.6,57468,7581,58397,11524,56593,10005,96.9,25.7,2022,0.020335702158736906,biological technicians,19-4021.00,Biological Technicians,19-4021,Biological Technicians,biological technicians
Chemical technicians,55660,4771.0,36798,3864.0,18862,2820.0,33.9,4.1,59048,2206,61602,4536,55475,4056,90.1,9.7,2022,0.03806788548214525,chemical technicians,19-4031.00,Chemical Technicians,19-4031,Chemical Technicians,chemical technicians
Environmental science and geoscience technicians,15088,2467.0,11425,2289.0,3663,1120.0,24.3,6.9,63780,7790,70601,12012,55049,7151,(X),(X),2022,0.0073927825533399456,environmental science and geoscience technicians,,,,,
Nuclear technicians,3425,874.0,2729,779.0,696,351.0,20.3,9.1,96273,12559,96460,11666,92280,24904,(X),(X),2022,0.0014046892320842485,nuclear technicians,19-4051.00,Nuclear Technicians,19-4051,Nuclear Technicians,nuclear technicians
Nuclear technicians,3425,874.0,2729,779.0,696,351.0,20.3,9.1,96273,12559,96460,11666,92280,24904,(X),(X),2022,0.0014046892320842485,nuclear technicians,19-4051.02,Nuclear Monitoring Technicians,19-4051,Nuclear Technicians,nuclear technicians
Social science research assistants,5878,1192.0,2636,676.0,3242,919.0,55.2,9.0,55355,7059,57102,11578,48654,12114,(X),(X),2022,0.0065431070264613984,social science research assistants,19-4061.00,Social Science Research Assistants,19-4061,Social Science Research Assistants,social science research assistants
Other life physical and social science technicians,172353,7273.0,83706,5029.0,88647,5727.0,51.4,2.3,51591,1090,53818,1884,49412,2043,91.8,4.4,2022,0.17891018154679939,other life physical and social science technicians,,,,,
Occupational health and safety specialists and technicians,85580,5424.0,57163,4306.0,28417,3193.0,33.2,3.0,72787,2057,75724,3432,68057,6607,89.9,9.4,2022,0.05735208894847426,occupational health and safety specialists and technicians,,,,,
Education Legal Community Service Arts and Media Occupations,12252605,68821.0,4462374,35240.0,7790231,49826.0,63.6,0.2,60541,170,70370,439,56064,240,79.7,0.6,2022,15.722490806248429,education legal community service arts and media occupations,,,,,
Community and Social Service Occupations,2106009,25556.0,729606,14736.0,1376403,18574.0,65.4,0.5,54126,326,54946,720,53745,360,97.8,1.4,2022,2.7779001050408847,community and social service occupations,,,,,
Substance abuse and behavioral disorder counselors,91092,5582.0,25245,2742.0,65847,4443.0,72.3,2.4,52556,1374,51202,2049,53313,1930,104.1,6,2022,0.13289449980610848,substance abuse and behavioral disorder counselors,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors,substance abuse and behavioral disorder counselors
Educational guidance and career counselors and advisors,282549,10178.0,67892,5037.0,214657,8723.0,76.0,1.5,58798,1042,60070,2613,58479,1164,97.4,4.9,2022,0.4332275524303283,educational guidance and career counselors and advisors,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21-1012,"Educational, Guidance, and Career Counselors and Advisors",educational guidance and career counselors and advisors
Marriage and family therapists,15121,2189.0,3679,994.0,11442,1894.0,75.7,5.7,61890,6971,61027,18188,62162,7618,(X),(X),2022,0.023092606599867775,marriage and family therapists,21-1013.00,Marriage and Family Therapists,21-1013,Marriage and Family Therapists,marriage and family therapists
Mental health counselors,118601,6716.0,29016,3266.0,89585,5988.0,75.5,2.5,57030,1918,59080,4175,56376,1891,95.4,6.7,2022,0.18080328283946465,mental health counselors,21-1014.00,Mental Health Counselors,21-1014,Mental Health Counselors,mental health counselors
Rehabilitation counselors,17884,2254.0,5809,1377.0,12075,1728.0,67.5,6.0,57939,9549,63433,14424,56611,6909,(X),(X),2022,0.024370147237668536,rehabilitation counselors,21-1015.00,Rehabilitation Counselors,21-1015,Rehabilitation Counselors,rehabilitation counselors
Counselors all other,135346,7905.0,45623,4531.0,89723,6089.0,66.3,2.6,51684,1004,56216,3861,50474,1376,89.8,6.5,2022,0.18108179880789516,counselors all other,21-1019.00,"Counselors, All Other",21-1019,"Counselors, All Other",counselors all other
Child family and school social workers,68385,4953.0,11440,1979.0,56945,4713.0,83.3,2.7,50975,1805,53292,9899,50657,1752,95.1,16.4,2022,0.1149282016106861,child family and school social workers,21-1021.00,"Child, Family, and School Social Workers",21-1021,"Child, Family, and School Social Workers",child family and school social workers
Healthcare social workers,68726,4943.0,13559,2037.0,55167,4782.0,80.3,2.9,56461,1856,55330,3173,56811,2213,102.7,7.2,2022,0.11133978572757433,healthcare social workers,21-1022.00,Healthcare Social Workers,21-1022,Healthcare Social Workers,healthcare social workers
Mental health and substance abuse social workers,29135,3504.0,4073,1125.0,25062,3307.0,86.0,3.7,63678,5487,66049,11651,63399,5246,(X),(X),2022,0.0505809217449647,mental health and substance abuse social workers,21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023,Mental Health and Substance Abuse Social Workers,mental health and substance abuse social workers
Social workers all other,481554,13647.0,78305,5141.0,403249,11962.0,83.7,0.9,57061,723,58100,2057,56833,851,97.8,3.8,2022,0.8138498967654326,social workers all other,21-1029.00,"Social Workers, All Other",21-1029,"Social Workers, All Other",social workers all other
Probation officers and correctional treatment specialists,71868,4741.0,30331,3001.0,41537,3623.0,57.8,3.2,59320,1895,63247,4163,58035,1904,91.8,6.9,2022,0.08383128826592447,probation officers and correctional treatment specialists,21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092,Probation Officers and Correctional Treatment Specialists,probation officers and correctional treatment specialists
Social and human service assistants,184923,8270.0,42545,3827.0,142378,7297.0,77.0,1.8,44409,894,47519,3214,43698,1074,92,6.9,2022,0.2873517866173723,social and human service assistants,21-1093.00,Social and Human Service Assistants,21-1093,Social and Human Service Assistants,social and human service assistants
Other community and social service specialists,84475,5383.0,25171,2726.0,59304,4909.0,70.2,3.0,52913,1930,61299,3023,50408,2398,82.2,5.9,2022,0.11968921008552336,other community and social service specialists,,,,,
Clergy,357534,10960.0,303616,10318.0,53918,3682.0,15.1,1.0,52534,891,52968,1088,50724,1652,95.8,3.8,2022,0.1088190143901128,clergy,21-2011.00,Clergy,21-2011,Clergy,clergy
Directors religious activities and education,53256,4320.0,23722,2480.0,29534,3091.0,55.5,3.3,53396,2482,59830,2973,48760,3450,81.5,6.7,2022,0.05960645370743706,directors religious activities and education,21-2021.00,"Directors, Religious Activities and Education",21-2021,"Directors, Religious Activities and Education",directors religious activities and education
Religious workers all other,45560,3867.0,19580,2466.0,25980,2668.0,57.0,3.7,40583,2100,45061,7248,37335,3801,82.9,13.9,2022,0.0524336584045241,religious workers all other,21-2099.00,"Religious Workers, All Other",21-2099,"Religious Workers, All Other",religious workers all other
Legal Occupations,1621996,18740.0,759033,13946.0,862963,16622.0,53.2,0.7,105410,1109,150658,2432,80673,1090,53.5,1.1,2022,1.7416592439470104,legal occupations,,,,,
Lawyers,1036761,16133.0,637005,13196.0,399756,11947.0,38.6,0.9,153540,1548,162510,3910,134805,3244,83,2.5,2022,0.8068002135934926,lawyers,23-1011.00,Lawyers,23-1011,Lawyers,lawyers
Judicial law clerks,19966,2312.0,4292,1146.0,15674,2170.0,78.5,5.3,61064,4726,73449,9834,57254,5545,(X),(X),2022,0.031633762965069694,judicial law clerks,23-1012.00,Judicial Law Clerks,23-1012,Judicial Law Clerks,judicial law clerks
Judges magistrates and other judicial workers,61766,4500.0,28714,3049.0,33052,3748.0,53.5,4.1,122830,12434,147752,10996,100993,4241,68.4,5.3,2022,0.06670659267075946,judges magistrates and other judicial workers,,,,,
Paralegals and legal assistants,377255,13630.0,54720,5056.0,322535,11931.0,85.5,1.2,57195,989,55722,2642,57420,1129,103,5.5,2022,0.6509503469400763,paralegals and legal assistants,23-2011.00,Paralegals and Legal Assistants,23-2011,Paralegals and Legal Assistants,paralegals and legal assistants
Title examiners abstractors and searchers,85785,5220.0,20749,2922.0,65036,4570.0,75.8,3.0,55099,2228,83353,4817,52229,1807,62.7,4.3,2022,0.1312577139336655,title examiners abstractors and searchers,23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093,"Title Examiners, Abstractors, and Searchers",title examiners abstractors and searchers
Legal support workers all other,40463,4220.0,13553,2366.0,26910,3081.0,66.5,4.2,58117,3714,62558,12514,57480,4407,91.9,22.2,2022,0.05431061384394702,legal support workers all other,23-2099.00,"Legal Support Workers, All Other",23-2099,"Legal Support Workers, All Other",legal support workers all other
Educational Instruction and Library Occupations,6389431,49989.0,1823649,24674.0,4565782,37671.0,71.5,0.3,56913,290,66043,550,53519,270,81,0.7,2022,9.214805763569087,educational instruction and library occupations,,,,,
Postsecondary teachers,926405,17982.0,480523,13305.0,445882,10445.0,48.1,0.8,81492,755,88740,1570,75212,1177,84.8,1.9,2022,0.8998931669255587,postsecondary teachers,,,,,
Preschool and kindergarten teachers,518739,13200.0,13288,2369.0,505451,12949.0,97.4,0.4,34625,836,38933,3034,34472,834,88.5,7,2022,1.020117208399735,preschool and kindergarten teachers,,,,,
Elementary and middle school teachers,2267573,27828.0,467639,12895.0,1799934,22430.0,79.4,0.5,58625,310,62514,821,57590,323,92.1,1.3,2022,3.632683776238979,elementary and middle school teachers,,,,,
Secondary school teachers,966451,19770.0,423136,13074.0,543315,13297.0,56.2,0.9,63636,507,66453,815,61448,622,92.5,1.4,2022,1.0965355317957666,secondary school teachers,,,,,
Special education teachers,298468,9429.0,43741,4118.0,254727,8369.0,85.3,1.2,58915,933,61105,2842,58527,1113,95.8,5.2,2022,0.5140980948579373,special education teachers,,,,,
Tutors,23991,2853.0,7643,1655.0,16348,2554.0,68.1,6.2,35242,2522,26756,3598,36227,1017,135.4,18.1,2022,0.03299405110073749,tutors,25-3041.00,Tutors,25-3041,Tutors,tutors
Other teachers and instructors,390274,11808.0,180142,8289.0,210132,8282.0,53.8,1.5,54686,1145,62956,1325,49175,1464,78.1,2.8,2022,0.42409505419012544,other teachers and instructors,,,,,
Archivists curators and museum technicians,59778,4645.0,27011,2953.0,32767,3441.0,54.8,3.7,63006,2665,66255,3212,60163,2682,90.8,5.5,2022,0.06613139664900082,archivists curators and museum technicians,,,,,
Librarians and media collections specialists,151697,5974.0,33331,3279.0,118366,5144.0,78.0,1.9,59774,1323,60830,2658,59444,1484,97.7,4.9,2022,0.23889000811046576,librarians and media collections specialists,25-4022.00,Librarians and Media Collections Specialists,25-4022,Librarians and Media Collections Specialists,librarians and media collections specialists
Library technicians,13177,1778.0,3478,1157.0,9699,1452.0,73.6,7.3,36159,3038,38700,6637,33480,4625,(X),(X),2022,0.019574828824691273,library technicians,25-4031.00,Library Technicians,25-4031,Library Technicians,library technicians
Teaching assistants,653135,14970.0,115145,6603.0,537990,13401.0,82.4,0.9,27426,421,33387,2266,26511,397,79.4,5.5,2022,1.085788448231329,teaching assistants,,,,,
Other educational instruction and library workers,119743,5940.0,28572,2975.0,91171,5179.0,76.1,2.2,65173,1738,75534,4414,62714,2058,83,5.8,2022,0.18400419824476005,other educational instruction and library workers,,,,,
Arts Design Entertainment Sports and Media Occupations,2135169,26398.0,1150086,18909.0,985083,17279.0,46.1,0.6,63876,458,67623,1153,60840,582,90,1.9,2022,1.9881256936914475,arts design entertainment sports and media occupations,,,,,
Artists and related workers,181001,8067.0,106707,5949.0,74294,5366.0,41.0,2.2,52653,3112,62407,4210,42772,3799,68.5,7.2,2022,0.14994250259837233,artists and related workers,,,,,
Commercial and industrial designers,12508,2073.0,9554,1922.0,2954,837.0,23.6,6.4,77064,11882,74640,14744,77891,24959,(X),(X),2022,0.005961856309736882,commercial and industrial designers,27-1021.00,Commercial and Industrial Designers,27-1021,Commercial and Industrial Designers,commercial and industrial designers
Fashion designers,18463,2679.0,3218,1241.0,15245,2209.0,82.6,5.6,58626,5651,88724,20022,56181,7293,(X),(X),2022,0.030767941584948805,fashion designers,27-1022.00,Fashion Designers,27-1022,Fashion Designers,fashion designers
Floral designers,31319,3490.0,3997,1329.0,27322,3111.0,87.2,3.8,35924,1128,42387,10809,35201,1874,(X),(X),2022,0.05514212528592793,floral designers,27-1023.00,Floral Designers,27-1023,Floral Designers,floral designers
Graphic designers,229189,8404.0,111263,5681.0,117926,6394.0,51.5,1.9,58685,1247,62654,2343,55657,1511,88.8,4.1,2022,0.2380019861821366,graphic designers,27-1024.00,Graphic Designers,27-1024,Graphic Designers,graphic designers
Interior designers,79579,5233.0,16285,2564.0,63294,4300.0,79.5,2.7,63006,2397,59117,5927,63763,2294,107.9,11.4,2022,0.1277419543901443,interior designers,27-1025.00,Interior Designers,27-1025,Interior Designers,interior designers
Merchandise displayers and window trimmers,20746,2992.0,8529,1996.0,12217,2193.0,58.9,7.1,36589,2755,37153,3630,35946,4778,(X),(X),2022,0.024656736132720205,merchandise displayers and window trimmers,27-1026.00,Merchandise Displayers and Window Trimmers,27-1026,Merchandise Displayers and Window Trimmers,merchandise displayers and window trimmers
Other designers,298518,9139.0,181424,6651.0,117094,5371.0,39.2,1.3,76578,1334,81272,1328,70319,2107,86.5,3,2022,0.23632281744493244,other designers,,,,,
Actors,15494,2792.0,9132,2101.0,6362,1643.0,41.1,8.0,49060,8134,44656,19527,49659,11088,(X),(X),2022,0.012839989790976994,actors,27-2011.00,Actors,27-2011,Actors,actors
Producers and directors,167133,7398.0,103646,5419.0,63487,4992.0,38.0,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,27-2012.00,Producers and Directors,27-2012,Producers and Directors,producers and directors
Producers and directors,167133,7398.0,103646,5419.0,63487,4992.0,38.0,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,27-2012.03,Media Programming Directors,27-2012,Producers and Directors,producers and directors
Producers and directors,167133,7398.0,103646,5419.0,63487,4992.0,38.0,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,27-2012.04,Talent Directors,27-2012,Producers and Directors,producers and directors
Producers and directors,167133,7398.0,103646,5419.0,63487,4992.0,38.0,2.2,81166,2565,82973,4157,78363,5455,94.4,7.9,2022,0.12813147309961592,producers and directors,27-2012.05,Media Technical Directors/Managers,27-2012,Producers and Directors,producers and directors
Athletes and sports competitors,22652,3049.0,19838,2730.0,2814,1084.0,12.4,4.3,63959,7492,62924,7809,79397,113194,(X),(X),2022,0.005679303877995798,athletes and sports competitors,27-2021.00,Athletes and Sports Competitors,27-2021,Athletes and Sports Competitors,athletes and sports competitors
Coaches and scouts,132754,6227.0,84572,4932.0,48182,3929.0,36.3,2.3,53963,1954,56604,3691,50726,2749,89.6,7.1,2022,0.09724243761534951,coaches and scouts,27-2022.00,Coaches and Scouts,27-2022,Coaches and Scouts,coaches and scouts
Umpires referees and other sports officials,3251,1032.0,2368,721.0,883,537.0,27.2,11.7,48447,16170,72930,31238,17119,31741,(X),(X),2022,0.0017820985516241255,umpires referees and other sports officials,27-2023.00,"Umpires, Referees, and Other Sports Officials",27-2023,"Umpires, Referees, and Other Sports Officials",umpires referees and other sports officials
Dancers and choreographers,7129,1912.0,2051,756.0,5078,1715.0,71.2,10.2,51837,17950,39542,39594,52434,18798,(X),(X),2022,0.010248580345580193,dancers and choreographers,,,,,
Music directors and composers,25869,3220.0,19665,2812.0,6204,1379.0,24.0,4.7,54232,6840,55261,9799,53399,5221,(X),(X),2022,0.012521109189440627,music directors and composers,27-2041.00,Music Directors and Composers,27-2041,Music Directors and Composers,music directors and composers
Musicians and singers,44487,3591.0,33605,3201.0,10882,2465.0,24.5,4.9,47054,4703,50507,3967,38804,10642,76.8,21.4,2022,0.021962396872903436,musicians and singers,27-2042.00,Musicians and Singers,27-2042,Musicians and Singers,musicians and singers
Disc jockeys except radio,6954,1645.0,6426,1539.0,528,459.0,7.6,6.2,37734,6296,37356,7491,40802,21801,(X),(X),2022,0.001065626313994947,disc jockeys except radio,27-2091.00,"Disc Jockeys, Except Radio",27-2091,"Disc Jockeys, Except Radio",disc jockeys except radio
Entertainers and performers sports and related workers all other,15150,2872.0,8774,1997.0,6376,1809.0,42.1,8.3,41540,2836,51148,11888,37899,4083,(X),(X),2022,0.012868245034151104,entertainers and performers sports and related workers all other,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",entertainers and performers sports and related workers all other
Broadcast announcers and radio disc jockeys,16281,2461.0,10838,2316.0,5443,1236.0,33.4,7.5,63795,8793,69747,10083,60047,11447,(X),(X),2022,0.010985234899762305,broadcast announcers and radio disc jockeys,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,27-3011,Broadcast Announcers and Radio Disc Jockeys,broadcast announcers and radio disc jockeys
News analysts reporters and journalists,64582,4795.0,35469,3711.0,29113,2907.0,45.1,3.5,67721,5371,68568,8210,67336,5557,98.2,14.2,2022,0.05875677818055851,news analysts reporters and journalists,27-3023.00,"News Analysts, Reporters, and Journalists",27-3023,"News Analysts, Reporters, and Journalists",news analysts reporters and journalists
Public relations specialists,131938,7103.0,47789,3862.0,84149,5503.0,63.8,2.2,81373,2578,91028,7117,76835,3923,84.4,8,2022,0.16983217556128938,public relations specialists,27-3031.00,Public Relations Specialists,27-3031,Public Relations Specialists,public relations specialists
Editors,98889,5011.0,42287,3348.0,56602,4045.0,57.2,2.7,68665,3073,70591,6088,67529,3147,95.7,9.4,2022,0.11423594815292044,editors,27-3041.00,Editors,27-3041,Editors,editors
Technical writers,49967,4079.0,21913,2792.0,28054,2750.0,56.1,3.8,85795,1849,87478,3802,82147,2928,93.9,4.7,2022,0.05661947085760274,technical writers,27-3042.00,Technical Writers,27-3042,Technical Writers,technical writers
Writers and authors,146504,8010.0,65251,4572.0,81253,5494.0,55.5,2.1,69355,2342,70712,2946,67291,4957,95.2,8.8,2022,0.16398737668755953,writers and authors,27-3043.00,Writers and Authors,27-3043,Writers and Authors,writers and authors
Writers and authors,146504,8010.0,65251,4572.0,81253,5494.0,55.5,2.1,69355,2342,70712,2946,67291,4957,95.2,8.8,2022,0.16398737668755953,writers and authors,27-3043.05,"Poets, Lyricists and Creative Writers",27-3043,Writers and Authors,writers and authors
Interpreters and translators,49034,3390.0,14446,2179.0,34588,2819.0,70.5,3.7,47489,2561,52010,3846,44206,3634,85,9.4,2022,0.0698065964932902,interpreters and translators,27-3091.00,Interpreters and Translators,27-3091,Interpreters and Translators,interpreters and translators
Court reporters and simultaneous captioners,22611,2876.0,2485,810.0,20126,2779.0,89.0,3.5,69468,9464,62289,38918,70078,9067,(X),(X),2022,0.04061893029443618,court reporters and simultaneous captioners,27-3092.00,Court Reporters and Simultaneous Captioners,27-3092,Court Reporters and Simultaneous Captioners,court reporters and simultaneous captioners
Media and communication workers all other,17085,2044.0,8173,1682.0,8912,1502.0,52.2,7.2,74522,7595,70352,11811,78983,10976,(X),(X),2022,0.01798648051197532,media and communication workers all other,27-3099.00,"Media and Communication Workers, All Other",27-3099,"Media and Communication Workers, All Other",media and communication workers all other
