Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Facilities managers,112151,5739,89784,5193,22367,2520,19.9,2,75700,2618,79014,2401,63293,3541,80.1,5.4,2022,0.045141787,facilities managers,,,,Nov-13,Facilities Managers,facilities managers,Nov-13,11-3013.01,Security Managers,Nov-13,Facilities Managers
Computer and information systems managers,608886,14416,443785,11971,165101,6826,27.1,0.9,127142,1354,131824,2317,113908,3201,86.4,3.1,2022,0.3332120645206056,computer and information systems managers,,,Nov-20,,Computer and Information Systems Managers,computer and information systems managers,Nov-20,,,,
Computer and information systems managers,608886,14416,443785,11971,165101,6826,27.1,0.9,127142,1354,131824,2317,113908,3201,86.4,3.1,2022,0.3332120645206056,computer and information systems managers,,,,Nov-21,Computer and Information Systems Managers,computer and information systems managers,Nov-21,11-3021.00,Computer and Information Systems Managers,Nov-21,Computer and Information Systems Managers
Financial managers,1369774,24186,619758,16341,750016,16856,54.8,0.8,92533,1241,115793,2078,77072,1423,66.6,1.7,2022,1.513706033,financial managers,,,Nov-30,,Financial Managers,financial managers,Nov-30,,,,
Financial managers,1369774,24186,619758,16341,750016,16856,54.8,0.8,92533,1241,115793,2078,77072,1423,66.6,1.7,2022,1.513706033,financial managers,,,,Nov-31,Financial Managers,financial managers,Nov-31,11-3031.00,Financial Managers,Nov-31,Financial Managers
Financial managers,1369774,24186,619758,16341,750016,16856,54.8,0.8,92533,1241,115793,2078,77072,1423,66.6,1.7,2022,1.513706033,financial managers,,,,Nov-31,Financial Managers,financial managers,Nov-31,11-3031.01,Treasurers and Controllers,Nov-31,Financial Managers
Financial managers,1369774,24186,619758,16341,750016,16856,54.8,0.8,92533,1241,115793,2078,77072,1423,66.6,1.7,2022,1.513706033,financial managers,,,,Nov-31,Financial Managers,financial managers,Nov-31,11-3031.03,Investment Fund Managers,Nov-31,Financial Managers
Compensation and benefits managers,19666,2546,4057,797,15609,2398,79.4,4.1,107377,10881,140212,21849,104067,11228,(X),(X),2022,0.031502577907475626,compensation and benefits managers,,,Nov-10,,Compensation and Benefits Managers,compensation and benefits managers,Nov-10,,,,
Compensation and benefits managers,19666,2546,4057,797,15609,2398,79.4,4.1,107377,10881,140212,21849,104067,11228,(X),(X),2022,0.031502577907475626,compensation and benefits managers,,,,Nov-11,Compensation and Benefits Managers,compensation and benefits managers,Nov-11,11-3111.00,Compensation and Benefits Managers,Nov-11,Compensation and Benefits Managers
Human resources managers,272528,9698,67363,4948,205165,8135,75.3,1.5,96232,1926,109596,9609,92335,2076,84.3,7.5,2022,0.41407049755828285,human resources managers,,,Nov-20,,Human Resources Managers,human resources managers,Nov-20,,,,
