,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
277,Prosthodontists,0.0001537315983757875,0.01537315983757875,Total,43.5,0.1,82,51400,0.0
278,Film and Video Editors,0.0001536706290161765,0.015367062901617651,Television video and film camera operators and editors,19.2,2.5,103.7,64202,0.7462261392998046
279,"Captains, Mates, and Pilots of Water Vessels",0.0001536016956249661,0.015360169562496612,Ship and boat captains and operators,7.0,3.2,(X),80712,0.2596203771344313
280,Chiropractors,0.0001535819048587038,0.01535819048587038,Chiropractors,28.3,3.8,70.3,64268,1.0
281,Bailiffs,0.0001531886075169759,0.01531886075169759,Bailiffs,30.7,5.9,(X),60858,1.0
282,Nanosystems Engineers,0.0001531714169583233,0.01531714169583233,Sales engineers,9.7,2.0,(X),113766,0.30253970534307184
283,Bioengineers and Biomedical Engineers,0.0001531258268641396,0.01531258268641396,Bioengineers and biomedical engineers,19.4,4.8,(X),103865,1.0
284,Reservation and Transportation Ticket Agents and Travel Clerks,0.0001531188513882026,0.015311885138820262,Reservation and transportation ticket agents and travel clerks,49.9,2.8,83.2,41464,1.0
285,Cashiers,0.0001530479268672808,0.01530479268672808,Cashiers,68.2,0.9,87,26362,1.0
286,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.0001528059815079618,0.015280598150796179,Miscellaneous plant and system operators,6.6,2.2,(X),90059,0.343880914204494
287,Stonemasons,0.0001527373585372093,0.015273735853720929,Brickmasons blockmasons and stonemasons,0.9,0.6,(X),25968,0.5774328561868511
288,Embalmers,0.0001527248861238358,0.015272488612383579,Embalmers crematory operators and funeral attendants,32.3,9.3,(X),31977,0.5189305063098576
289,Baristas,0.0001527170869970033,0.015271708699700329,Total,43.5,0.1,82,51400,0.0
290,Laundry and Dry-Cleaning Workers,0.0001526254180791781,0.015262541807917812,Laundry and drycleaning workers,64.3,3.4,84,26862,0.44710041672867534
291,Geographers,0.0001523592575952273,0.015235925759522729,Geoscientists and hydrologists except geographers,20.9,2.9,100.5,92644,0.5316054210531366
292,"Insulation Workers, Mechanical",0.0001523410659865871,0.01523410659865871,Insulation workers,3.4,2.7,(X),30753,0.7828316273013045
293,Terrazzo Workers and Finishers,0.0001523102082328325,0.015231020823283248,Cement masons concrete finishers and terrazzo workers,1.3,1.0,(X),33804,0.6410116270782802
294,Correctional Officers and Jailers,0.0001522989613459294,0.015229896134592939,Correctional officers and jailers,27.0,1.7,82.7,49947,1.0000000000000002
295,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.0001522183959172482,0.015221839591724821,Other protective service workers,36.7,4.9,74.4,34628,0.5561069735510609
296,Automotive Body and Related Repairers,0.0001521919069936463,0.01521919069936463,Automotive body and related repairers,2.4,1.1,(X),33088,1.0
297,Forest and Conservation Workers,0.0001519565508819885,0.015195655088198852,Forest and conservation workers,18.0,5.2,(X),34028,1.0
298,Highway Maintenance Workers,0.0001519153748068673,0.01519153748068673,Highway maintenance workers,1.4,0.7,(X),39089,1.0
299,Fence Erectors,0.0001518626635918895,0.01518626635918895,Fence erectors,2.6,2.2,(X),24784,1.0000000000000002
300,Fire Inspectors and Investigators,0.000151852514123859,0.0151852514123859,Fire inspectors,10.3,3.1,(X),72702,0.7996519148550065
301,Home Appliance Repairers,0.0001515460415367648,0.01515460415367648,Home appliance repairers,5.2,2.5,(X),51113,1.0
302,"English Language and Literature Teachers, Postsecondary",0.000151534898410707,0.015153489841070702,Postsecondary teachers,48.1,0.8,84.8,75212,0.460238659804032
303,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.0001514800275860183,0.01514800275860183,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.7136543870654811
304,Adhesive Bonding Machine Operators and Tenders,0.0001512720243639439,0.01512720243639439,Adhesive bonding machine operators and tenders,29.9,9.4,(X),36524,1.0000000000000002
305,Electrical and Electronics Drafters,0.0001512503632046989,0.01512503632046989,Electrical and electronics engineers,8.2,0.8,91.2,103023,0.7146042299742541
306,"Switchboard Operators, Including Answering Service",0.0001511575434577872,0.01511575434577872,Switchboard operators including answering service,75.3,9.8,(X),39214,1.0
307,Industrial Engineering Technologists and Technicians,0.0001511301324849915,0.015113013248499152,Electrical and electronic engineering technologists and technicians,10.0,2.4,(X),49612,0.5929585557079153
308,Conveyor Operators and Tenders,0.000151095871095906,0.015109587109590601,Conveyor dredge and hoist and winch operators,4.1,2.2,(X),28992,0.49874616575099184
309,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.0001510352619309474,0.01510352619309474,Telecommunications line installers and repairers,3.2,1.3,(X),57167,0.8582730111842312
310,Paperhangers,0.000150876081816538,0.015087608181653802,Painters and paperhangers,7.3,1.0,78.7,31832,0.7072585194684986
311,Food Scientists and Technologists,0.000150867856494342,0.015086785649434201,Agricultural and food scientists,31.8,4.7,86,74307,0.6707809271595985
312,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.0001508374258421853,0.015083742584218528,Maids and housekeeping cleaners,82.5,0.8,84.9,27215,0.8331473476712783
313,Animal Trainers,0.0001507663526938769,0.01507663526938769,Animal trainers,58.0,4.7,76.7,31347,1.0000000000000002
314,Ship Engineers,0.0001504982277716426,0.015049822777164261,Ship engineers,3.8,4.4,(X),81250,1.0000000000000002
315,Orderlies,0.0001501609584969118,0.015016095849691179,Orderlies and psychiatric aides,39.8,4.7,96.8,35344,0.6315687684444211
316,Statisticians,0.0001501227174655928,0.01501227174655928,Statisticians,48.7,3.8,95.6,92952,1.0
317,Printing Press Operators,0.0001499202099203634,0.01499202099203634,Printing press operators,19.8,2.2,69.3,31649,1.0000000000000004
318,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0.0001499073955314455,0.01499073955314455,Transportation inspectors,14.1,3.4,(X),50419,0.5123848829824706
319,Gas Plant Operators,0.0001496920185174293,0.014969201851742931,Miscellaneous plant and system operators,6.6,2.2,(X),90059,0.4445116826964399
320,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.0001496888156961858,0.01496888156961858,Elementary and middle school teachers,79.4,0.5,92.1,57590,0.551291222950907
321,Cardiovascular Technologists and Technicians,0.0001496813720346755,0.014968137203467551,Cardiovascular technologists and technicians,62.4,4.5,61.3,51279,1.0000000000000002
322,Orthotists and Prosthetists,0.0001496116665013106,0.01496116665013106,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.05351612466019237
323,Remote Sensing Scientists and Technologists,0.0001495198466803017,0.01495198466803017,Medical scientists,56.8,2.5,92.6,81833,0.2957768951174286
324,Curators,0.0001494312589655491,0.014943125896554908,Archivists curators and museum technicians,54.8,3.7,90.8,60163,0.5477585294269421
325,"Opticians, Dispensing",0.0001494009989156237,0.01494009989156237,Opticians dispensing,68.4,3.5,80.4,42558,1.0000000000000002
326,"Painting, Coating, and Decorating Workers",0.0001493588240628016,0.01493588240628016,Painting workers,9.1,1.5,89.9,41332,0.585672433833963
327,Heavy and Tractor-Trailer Truck Drivers,0.0001493565781206767,0.01493565781206767,Industrial truck and tractor operators,9.2,0.7,91.5,37411,0.509743305245842
328,"Career/Technical Education Teachers, Middle School",0.0001493304854370418,0.014933048543704181,Elementary and middle school teachers,79.4,0.5,92.1,57590,0.5530111032179542
329,Rail-Track Laying and Maintenance Equipment Operators,0.0001492501893557875,0.01492501893557875,Railtrack laying and maintenance equipment operators,0.7,1.1,-,-,0.6117369503583869
330,"Geography Teachers, Postsecondary",0.0001490075804585813,0.014900758045858132,Postsecondary teachers,48.1,0.8,84.8,75212,0.6395063613048434
331,Psychiatric Technicians,0.0001489833342538355,0.014898333425383551,Psychiatric technicians,73.1,3.3,87.1,36858,1.0
332,Surgical Assistants,0.0001488595459937341,0.01488595459937341,Surgical technologists,75.3,3.0,84.5,50748,0.6837338882597135
333,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.0001488553094570949,0.01488553094570949,Textile machine setters operators and tenders,44.0,9.6,(X),31595,0.5761226995659052
334,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.0001487584721275104,0.01487584721275104,Secretaries and administrative assistants except legal medical and executive,93.0,0.4,85.4,43062,1.0000000000000002
335,"Psychology Teachers, Postsecondary",0.0001487439081311829,0.01487439081311829,Postsecondary teachers,48.1,0.8,84.8,75212,0.6395063613048435
336,Respiratory Therapists,0.0001486716186543254,0.01486716186543254,Respiratory therapists,62.4,2.7,87.7,71223,1.0
337,Range Managers,0.0001486715029666447,0.01486715029666447,Sales managers,30.9,1.2,71.1,86475,0.2851425599976537
338,"Career/Technical Education Teachers, Secondary School",0.0001485969749693716,0.01485969749693716,Secondary school teachers,56.2,0.9,92.5,61448,0.6830933376977575
339,"Roof Bolters, Mining",0.000148512781372469,0.0148512781372469,Mining and geological engineers including mining safety engineers,8.2,4.7,(X),96420,0.31887969862352955
340,Biomass Plant Technicians,0.0001484383271785807,0.01484383271785807,Miscellaneous plant and system operators,6.6,2.2,(X),90059,0.2946803033577988
341,Physical Therapist Aides,0.0001481539230332251,0.01481539230332251,Physical therapist assistants and aides,63.8,3.5,98.1,50768,0.9107756314743344
342,Optometrists,0.0001479975394287259,0.01479975394287259,Optometrists,41.8,4.1,87.8,123300,1.0
343,Gas Compressor and Gas Pumping Station Operators,0.0001479088830451995,0.01479088830451995,Pumping station operators,2.7,1.9,(X),61796,0.6053401387228036
344,Neuropsychologists,0.0001478949585197298,0.01478949585197298,Total,43.5,0.1,82,51400,0.0
345,Computer Network Support Specialists,0.0001477161188567899,0.01477161188567899,Computer support specialists,24.6,1.0,94.3,63051,0.8103472109743671
346,Agricultural Engineers,0.0001476255731745025,0.014762557317450251,Agricultural engineers,0.8,1.3,-,-,1.0
347,"Refractory Materials Repairers, Except Brickmasons",0.0001476252580847161,0.014762525808471611,Materials engineers,15.3,3.0,95.9,91945,0.37811924107057776
348,Detectives and Criminal Investigators,0.0001474595852732336,0.014745958527323359,Detectives and criminal investigators,26.8,2.2,85.7,82150,1.0000000000000002
349,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.000147297705641422,0.014729770564142201,Painters and paperhangers,7.3,1.0,78.7,31832,0.28393819278356414
350,Human Resources Specialists,0.0001472887285286442,0.01472887285286442,Human resources workers,74.4,0.9,88,67046,0.8353106958621939
351,Fabric and Apparel Patternmakers,0.0001472790296647461,0.014727902966474611,Other textile apparel and furnishings workers,37.9,8.9,(X),42610,0.3276145180650614
352,Neurodiagnostic Technologists,0.000147225398112983,0.0147225398112983,Surgical technologists,75.3,3.0,84.5,50748,0.306544404379008
353,Traffic Technicians,0.0001469061464795008,0.014690614647950078,Air traffic controllers and airfield operations specialists,20.4,4.3,(X),102283,0.3834926191102
354,Medical Equipment Preparers,0.0001466441444907105,0.01466441444907105,Tax preparers,58.9,3.9,76.2,58976,0.5148553416083913
355,"News Analysts, Reporters, and Journalists",0.0001465095871473389,0.01465095871473389,News analysts reporters and journalists,45.1,3.5,98.2,67336,1.0000000000000002
356,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0001464963551167697,0.014649635511676971,Other machine tool setters operators and tenders metal and plastic,12.0,5.9,(X),32669,0.8133026697718561
357,Structural Metal Fabricators and Fitters,0.0001464342593667283,0.01464342593667283,Structural metal fabricators and fitters,2.6,1.5,(X),45714,1.0000000000000002
358,Solar Sales Representatives and Assessors,0.0001463001694504259,0.014630016945042588,Sales representatives wholesale and manufacturing,26.4,0.9,80.9,66587,0.43736723251353654
359,Animal Scientists,0.0001462228881813527,0.01462228881813527,Animal trainers,58.0,4.7,76.7,31347,0.4999871411073704
360,Museum Technicians and Conservators,0.0001461587879482909,0.014615878794829089,Archivists curators and museum technicians,54.8,3.7,90.8,60163,0.4665296703521294
361,Fiberglass Laminators and Fabricators,0.0001459879258784189,0.014598792587841889,Other assemblers and fabricators,34.6,0.9,87.6,37117,0.3741630382492956
362,Pest Control Workers,0.0001459621017630048,0.014596210176300481,Pest control workers,7.0,2.1,(X),40791,1.0
363,Software Quality Assurance Analysts and Testers,0.0001458766087723963,0.014587660877239629,Software quality assurance analysts and testers,47.4,3.4,91.6,82827,1.0
364,Psychiatrists,0.0001458152953639663,0.01458152953639663,Total,43.5,0.1,82,51400,0.0
365,Pharmacy Aides,0.0001458037777571818,0.014580377775718181,Pharmacy aides,73.1,6.5,(X),38750,1.0
366,Clinical and Counseling Psychologists,0.0001455047840874793,0.01455047840874793,Clinical and counseling psychologists,65.8,6.9,(X),104725,1.0000000000000002
367,"Architects, Except Landscape and Naval",0.0001454911281541138,0.014549112815411379,Architects except landscape and naval,25.4,1.6,78.5,86431,1.0000000000000002
368,Insurance Underwriters,0.0001454859792211983,0.014548597922119828,Insurance underwriters,60.1,2.5,88,71420,1.0
369,Clinical Neuropsychologists,0.0001453176115189471,0.014531761151894711,Clinical laboratory technologists and technicians,70.2,1.6,91.2,52635,0.3595731843841885
370,Stockers and Order Fillers,0.0001453085718823753,0.014530857188237531,Stockers and order fillers,35.1,0.9,95.5,32106,1.0000000000000004
371,Advertising Sales Agents,0.0001449913345296439,0.014499133452964389,Advertising sales agents,47.5,3.1,90.4,72974,1.0
372,Interpreters and Translators,0.0001449458603322867,0.01449458603322867,Interpreters and translators,70.5,3.7,85,44206,1.0000000000000002
373,Medical and Clinical Laboratory Technologists,0.0001447491774099643,0.01447491774099643,Clinical laboratory technologists and technicians,70.2,1.6,91.2,52635,0.8396136970459421
374,Fuel Cell Engineers,0.000144557643670502,0.0144557643670502,Sales engineers,9.7,2.0,(X),113766,0.22724469600242259
375,Library Technicians,0.000144519716583723,0.014451971658372302,Library technicians,73.6,7.3,(X),33480,1.0
376,Septic Tank Servicers and Sewer Pipe Cleaners,0.0001441412146927796,0.014414121469277959,Septic tank servicers and sewer pipe cleaners,3.2,3.0,(X),45216,1.0000000000000002
377,Forensic Science Technicians,0.0001440861391366854,0.01440861391366854,Agricultural and food science technicians,34.2,4.3,87,48415,0.4307852455862402
378,Geodetic Surveyors,0.0001440682134994985,0.01440682134994985,Surveyors cartographers and photogrammetrists,17.8,3.7,(X),69524,0.3739598238800674
379,Biomass Power Plant Managers,0.0001440429529289733,0.014404295292897329,Power plant operators distributors and dispatchers,7.8,1.9,(X),113352,0.44184346719808154
380,Radiation Therapists,0.0001438236286997,0.01438236286997,Radiation therapists,72.2,6.9,(X),81293,1.0
381,Occupational Health and Safety Specialists,0.0001437223282970902,0.014372232829709019,Occupational health and safety specialists and technicians,33.2,3.0,89.9,68057,0.9391143892881398
382,Producers and Directors,0.0001436573213499594,0.014365732134995939,Producers and directors,38.0,2.2,94.4,78363,1.0000000000000002
383,Manufacturing Engineers,0.0001436025991416292,0.014360259914162921,Sales representatives wholesale and manufacturing,26.4,0.9,80.9,66587,0.4448719343255187
384,Commercial Pilots,0.0001435696349785583,0.01435696349785583,Commercial divers,16.0,13.6,(X),31786,0.45543119271853566
385,Brokerage Clerks,0.0001434791854806691,0.01434791854806691,Brokerage clerks,71.7,11.7,(X),47374,1.0000000000000002
386,"Cutters and Trimmers, Hand",0.0001434755591575254,0.014347555915752541,Tree trimmers and pruners,3.8,1.7,(X),47500,0.3224311959481028
387,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.0001433474368264068,0.01433474368264068,Electrical and electronics repairers industrial and utility,3.7,3.3,(X),39622,0.6828772328456291
388,Marriage and Family Therapists,0.0001430569018228392,0.01430569018228392,Marriage and family therapists,75.7,5.7,(X),62162,1.0000000000000002
389,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.0001430135450345305,0.014301354503453049,Weighers measurers checkers and samplers recordkeeping,43.5,3.9,78,38743,1.0
390,"Tailors, Dressmakers, and Custom Sewers",0.0001427959624972909,0.014279596249729092,Tailors dressmakers and sewers,66.3,4.9,89.1,35415,0.8529096320412797
391,Parking Enforcement Workers,0.0001427532349907947,0.01427532349907947,Parking enforcement workers,29.6,11.0,(X),46356,1.0
392,Biological Technicians,0.000142637681143339,0.014263768114333901,Biological technicians,53.3,5.6,96.9,56593,1.0000000000000002
393,Naturopathic Physicians,0.0001425599396398061,0.01425599396398061,Other physicians,39.8,1.1,(X),206401,0.5095165334671027
394,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.0001424247670201116,0.014242476702011161,Food and tobacco roasting baking and drying machine operators and tenders,22.1,8.0,(X),37050,1.0
395,Computer Numerically Controlled Tool Programmers,0.0001421901257270104,0.014219012572701039,Computer numerically controlled tool operators and programmers,10.1,2.4,77.1,40620,0.9639110876945995
396,"Loading and Moving Machine Operators, Underground Mining",0.0001421850945116582,0.01421850945116582,Underground mining machine operators,1.5,0.9,(X),61857,0.7404325294093356
397,Food Science Technicians,0.0001421821988141976,0.01421821988141976,Agricultural and food science technicians,34.2,4.3,87,48415,0.8212973522657758
398,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.0001421387386277551,0.014213873862775511,Firstline supervisors of mechanics installers and repairers,7.4,1.0,85.5,61551,0.7277107661916028
399,Chemical Equipment Operators and Tenders,0.0001420948381881404,0.01420948381881404,Chemical processing machine setters operators and tenders,13.0,2.0,71.5,42215,0.6210880424059599
400,"Elementary School Teachers, Except Special Education",0.0001419028615195728,0.014190286151957278,Special education teachers,85.3,1.2,95.8,58527,0.6703710647976218
401,Industrial Ecologists,0.0001418483776026202,0.01418483776026202,Industrial production managers,23.4,1.4,89.5,81724,0.3648941075657721
402,"Education Administrators, Postsecondary",0.0001418349328890099,0.01418349328890099,Education and childcare administrators,64.4,0.9,80.1,73150,0.6482854489811587
403,Database Architects,0.0001418326894541027,0.01418326894541027,Database administrators and architects,28.8,2.3,68.1,78027,0.8227410774467445
404,Aerospace Engineering and Operations Technologists and Technicians,0.0001414160771620597,0.01414160771620597,Electrical and electronic engineering technologists and technicians,10.0,2.4,(X),49612,0.5047787105090469
405,Tire Builders,0.0001412894381205814,0.014128943812058141,Tire builders,5.4,3.3,(X),57568,1.0
406,Personal Care Aides,0.0001410834956749157,0.01410834956749157,Personal care aides,79.4,0.9,91.5,31605,1.0
407,Tree Trimmers and Pruners,0.0001408268503744887,0.01408268503744887,Tree trimmers and pruners,3.8,1.7,(X),47500,1.0
408,Water Resource Specialists,0.0001406931472017666,0.014069314720176659,Water and wastewater treatment plant and system operators,3.8,1.0,(X),58317,0.25274720643862675
409,Licensed Practical and Licensed Vocational Nurses,0.0001403562969631338,0.014035629696313381,Licensed practical and licensed vocational nurses,88.5,1.1,92.3,50039,1.0000000000000002
410,"Glass Blowers, Molders, Benders, and Finishers",0.0001402592380962724,0.014025923809627241,Automotive glass installers and repairers,3.0,2.3,(X),34300,0.27359515272100343
411,Power Distributors and Dispatchers,0.0001400978386099498,0.01400978386099498,Power plant operators distributors and dispatchers,7.8,1.9,(X),113352,0.8647477402684048
412,Procurement Clerks,0.0001400807999474385,0.014008079994743851,Procurement clerks,51.7,5.2,89.5,57749,1.0000000000000002
413,Proofreaders and Copy Markers,0.0001398688179204745,0.013986881792047452,Proofreaders and copy markers,77.4,7.4,(X),42373,1.0000000000000002
414,Exercise Physiologists,0.0001398075940495177,0.01398075940495177,Exercise physiologists,53.4,12.4,(X),46671,1.0000000000000002
415,Carpet Installers,0.0001394930279610185,0.013949302796101851,Carpet floor and tile installers and finishers,3.7,1.5,(X),34855,0.583475385044047
416,First-Line Supervisors of Construction Trades and Extraction Workers,0.0001394407078117093,0.01394407078117093,Firstline supervisors of construction trades and extraction workers,3.8,0.5,78.7,52112,0.8084621299700978
417,Stationary Engineers and Boiler Operators,0.00013930679527474,0.013930679527474,Stationary engineers and boiler operators,3.4,1.1,(X),67368,1.0
418,Automotive Engineering Technicians,0.0001392546498633845,0.013925464986338449,Automotive service technicians and mechanics,1.6,0.3,91.9,43097,0.5552668200246155
419,Tapers,0.0001389947867242791,0.01389947867242791,Drywall installers ceiling tile installers and tapers,3.8,1.3,(X),33424,0.4128533025918462
420,Skincare Specialists,0.0001389618952381657,0.01389618952381657,Skincare specialists,97.0,2.2,(X),39295,1.0000000000000002
421,Aviation Inspectors,0.0001389423231256005,0.01389423231256005,Transportation inspectors,14.1,3.4,(X),50419,0.4294669245204261
422,Amusement and Recreation Attendants,0.0001389291777599254,0.013892917775992539,Recreation workers,68.3,2.8,82.4,35189,0.5272325146081389
423,Training and Development Managers,0.0001388256725572654,0.01388256725572654,Training and development managers,59.0,3.3,85.1,78068,1.0
424,Health Informatics Specialists,0.0001387903396845727,0.01387903396845727,Environmental scientists and specialists including health,41.2,4.8,96.9,73856,0.3760932111099716
425,Billing and Posting Clerks,0.0001386579895499051,0.01386579895499051,Billing and posting clerks,86.8,1.1,81.5,41328,1.0000000000000002
426,Brickmasons and Blockmasons,0.0001386368329929797,0.01386368329929797,Brickmasons blockmasons and stonemasons,0.9,0.6,(X),25968,0.8164381768363698
427,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.0001385628358973681,0.013856283589736808,Sales representatives wholesale and manufacturing,26.4,0.9,80.9,66587,0.7146942810458979
428,Structural Iron and Steel Workers,0.0001385589224072678,0.01385589224072678,Structural iron and steel workers,1.8,1.1,(X),58690,1.0000000000000002
429,Accountants and Auditors,0.000138514711535683,0.013851471153568301,Accountants and auditors,58.0,0.8,81.4,74083,1.0
430,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.0001384026106081061,0.01384026106081061,Inspectors testers sorters samplers and weighers,37.0,1.1,73.6,40573,1.0
431,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.0001384005493574744,0.013840054935747439,Furnace kiln oven drier and kettle operators and tenders,20.4,7.4,(X),36413,1.0000000000000002
432,Data Warehousing Specialists,0.0001382257742034009,0.013822577420340088,Data entry keyers,75.1,1.7,90.3,38204,0.33271533504043743
433,"Teaching Assistants, Postsecondary",0.0001381944001300457,0.01381944001300457,Teaching assistants,82.4,0.9,79.4,26511,0.8732205623144493
434,"Library Assistants, Clerical",0.0001381828542837621,0.013818285428376209,Library assistants clerical,76.9,4.0,82.3,36641,1.0
435,"Production, Planning, and Expediting Clerks",0.0001378213503259377,0.013782135032593769,Production planning and expediting clerks,50.9,1.9,73.2,50161,1.0000000000000002
436,Cytotechnologists,0.0001377247882706461,0.013772478827064609,Total,43.5,0.1,82,51400,0.0
437,Radiologists,0.0001377006841208015,0.01377006841208015,Radiologists,21.2,6.1,(X),"250,000+",1.0
438,Librarians and Media Collections Specialists,0.0001376921230671776,0.01376921230671776,Librarians and media collections specialists,78.0,1.9,97.7,59444,1.0000000000000002
439,Customer Service Representatives,0.0001375300950786257,0.013753009507862572,Customer service representatives,67.0,0.7,87.8,40097,1.0
440,Social and Human Service Assistants,0.0001374041277582623,0.013740412775826228,Social and human service assistants,77.0,1.8,92,43698,1.0000000000000004
441,Oral and Maxillofacial Surgeons,0.0001372444012435802,0.013724440124358021,Surgeons,21.0,3.2,-,"250,000+",0.5512819488143993
442,Ophthalmic Medical Technologists,0.0001371922377380296,0.01371922377380296,Dietetic technicians and ophthalmic medical technicians,79.3,4.2,(X),34290,0.5245157724572685
443,Parking Attendants,0.0001369695672965893,0.013696956729658932,Parking attendants,9.1,3.2,(X),27471,1.0
444,Food Cooking Machine Operators and Tenders,0.0001367743319415948,0.013677433194159481,Food cooking machine operators and tenders,24.1,8.8,(X),28413,1.0
445,Recreational Vehicle Service Technicians,0.0001365783559278934,0.01365783559278934,Recreational therapists,78.3,6.7,(X),44525,0.4771942689402922
446,Bus and Truck Mechanics and Diesel Engine Specialists,0.0001365340019266259,0.01365340019266259,Bus and truck mechanics and diesel engine specialists,1.1,0.4,(X),41547,1.0000000000000002
447,"Textile Cutting Machine Setters, Operators, and Tenders",0.0001363151231451535,0.01363151231451535,Textile machine setters operators and tenders,44.0,9.6,(X),31595,0.8469526941169991
448,Gambling Cage Workers,0.0001362552289719713,0.01362552289719713,Gambling cage workers,67.2,10.9,(X),32494,1.0000000000000004
449,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.00013625022397193,0.013625022397193001,Other rail transportation workers,10.2,4.8,(X),82202,0.2798396034715459
450,"Service Unit Operators, Oil and Gas",0.0001362145495957361,0.01362145495957361,Derrick rotary drill and service unit operators oil and gas,0.8,1.2,-,-,0.7145276662051798
451,Self-Enrichment Teachers,0.0001356605143736241,0.013566051437362411,Postsecondary teachers,48.1,0.8,84.8,75212,0.25416835685504546
452,Occupational Therapists,0.0001356315521311483,0.01356315521311483,Occupational therapists,86.3,2.0,81.8,76619,1.0
453,"Derrick Operators, Oil and Gas",0.0001355366460209473,0.01355366460209473,Derrick rotary drill and service unit operators oil and gas,0.8,1.2,-,-,0.6687741038426428
454,Microsystems Engineers,0.0001355293272720893,0.013552932727208929,Sales engineers,9.7,2.0,(X),113766,0.30253970534307184
455,Coaches and Scouts,0.0001354368214621567,0.01354368214621567,Coaches and scouts,36.3,2.3,89.6,50726,1.0000000000000002
456,Magnetic Resonance Imaging Technologists,0.0001352305763545239,0.013523057635452392,Magnetic resonance imaging technologists,55.0,3.6,87.6,78825,1.0
457,Logistics Analysts,0.0001346703513508935,0.013467035135089352,Management analysts,43.2,1.0,85.4,90607,0.3570408815920544
458,Search Marketing Strategists,0.0001345458387645621,0.01345458387645621,Marketing managers,61.1,1.2,80.9,85327,0.44205074234529723
459,Climate Change Policy Analysts,0.0001345249696265712,0.013452496962657119,Insurance claims and policy processing clerks,82.1,1.8,81,42396,0.25949540632893775
460,Geneticists,0.0001344985776359004,0.01344985776359004,Total,43.5,0.1,82,51400,0.0
461,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.0001344831577571315,0.013448315775713149,Carpet floor and tile installers and finishers,3.7,1.5,(X),34855,0.3790365142780131
462,Coroners,0.0001341960320803524,0.01341960320803524,Total,43.5,0.1,82,51400,0.0
463,Urban and Regional Planners,0.0001341792121105506,0.013417921211055058,Urban and regional planners,44.6,4.8,84.9,75641,1.0000000000000002
464,Airfield Operations Specialists,0.0001339379815259654,0.01339379815259654,Air traffic controllers and airfield operations specialists,20.4,4.3,(X),102283,0.653693032339326
465,Radiologic Technologists and Technicians,0.0001339355005141897,0.01339355005141897,Radiologic technologists and technicians,65.3,1.9,85.9,62137,1.0000000000000002
466,Receptionists and Information Clerks,0.0001338522419889947,0.013385224198899471,Receptionists and information clerks,89.3,0.6,86.6,34147,1.0
467,Advanced Practice Psychiatric Nurses,0.0001338254264545905,0.013382542645459052,Psychiatric technicians,73.1,3.3,87.1,36858,0.40112802210732434
468,Loan Officers,0.0001337821989486844,0.01337821989486844,Credit counselors and loan officers,52.4,1.8,65.4,62044,0.6878305869797307
469,"Environmental Scientists and Specialists, Including Health",0.0001335965777587251,0.013359657775872509,Environmental scientists and specialists including health,41.2,4.8,96.9,73856,1.0
470,Nuclear Technicians,0.0001335645280405807,0.013356452804058071,Nuclear technicians,20.3,9.1,(X),92280,1.0000000000000002
471,Freight Forwarders,0.0001334332327206764,0.013343323272067642,Cargo and freight agents,45.5,6.6,68,41851,0.38642161306841794
472,Information Security Analysts,0.0001333375600545004,0.013333756005450038,Information security analysts,16.8,1.5,92.6,106640,1.0
473,"Locker Room, Coatroom, and Dressing Room Attendants",0.0001332418067010777,0.01332418067010777,Dining room and cafeteria attendants and bartender helpers,52.1,4.3,83.5,23785,0.39460045952087436
474,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.0001331212588628408,0.013312125886284078,Special education teachers,85.3,1.2,95.8,58527,0.22498917941729474
475,Business Intelligence Analysts,0.0001329723537772655,0.01329723537772655,Business operations specialists all other,56.3,1.7,74.4,62437,0.31744875864940536
