,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
830,Government Property Inspectors and Investigators,6.106373587947383e-05,0.0061063735879473835,Property appraisers and assessors,34.1,3.0,77.7,62466,0.31858051244270646
831,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,6.071777451728375e-05,0.006071777451728375,Supervisors of transportation and material moving workers,24.9,1.3,71.9,42902,0.6203533259534459
832,"Buyers and Purchasing Agents, Farm Products",5.995666767009718e-05,0.005995666767009718,Buyers and purchasing agents farm products,28.9,9.4,(X),60689,1.0000000000000002
833,Web Developers,5.972620565254094e-05,0.005972620565254094,Web developers,26.5,2.9,92.6,76955,1.0
834,Funeral Home Managers,5.915372548787939e-05,0.005915372548787939,Funeral home managers,49.4,10.2,(X),60988,1.0000000000000002
835,"Meeting, Convention, and Event Planners",5.882151615899261e-05,0.005882151615899261,Meeting convention and event planners,75.7,2.4,97.5,60240,1.0
836,Information Technology Project Managers,5.856293608054907e-05,0.005856293608054907,Project management specialists,45.1,1.0,87,88226,0.4001869006279011
837,Purchasing Managers,5.843106665106251e-05,0.005843106665106251,Purchasing managers,50.0,1.9,84.9,81442,1.0000000000000002
838,Chief Executives,5.840374446191628e-05,0.005840374446191628,Chief executives,28.6,0.7,77.8,136126,1.0
839,Marine Engineers and Naval Architects,5.830097485983066e-05,0.005830097485983066,Marine engineers and naval architects,6.7,3.7,(X),82378,1.0000000000000002
840,Paralegals and Legal Assistants,5.720083979417414e-05,0.005720083979417413,Paralegals and legal assistants,85.5,1.2,103,57420,1.0
841,"Mining and Geological Engineers, Including Mining Safety Engineers",5.692406474375894e-05,0.005692406474375893,Mining and geological engineers including mining safety engineers,8.2,4.7,(X),96420,1.0
842,Animal Breeders,5.634597583647039e-05,0.0056345975836470386,Animal breeders,31.7,9.4,(X),36541,1.0
843,Art Directors,5.524672474150437e-05,0.005524672474150437,Producers and directors,38.0,2.2,94.4,78363,0.3904318735765561
844,Aerospace Engineers,5.51394486627447e-05,0.00551394486627447,Aerospace engineers,13.8,1.6,89.6,106551,1.0
845,Childcare Workers,5.512695437874235e-05,0.005512695437874235,Childcare workers,95.2,0.6,73.9,26820,1.0
846,Nannies,5.506437837852015e-05,0.0055064378378520155,Total,43.5,0.1,82,51400,0.0
847,Chefs and Head Cooks,5.370359297464602e-05,0.005370359297464602,Chefs and head cooks,20.1,1.3,85.4,36114,1.0000000000000002
848,Chemical Plant and System Operators,5.358115518550801e-05,0.005358115518550801,Miscellaneous plant and system operators,6.6,2.2,(X),90059,0.6974624520001792
849,Investment Fund Managers,5.210202925348233e-05,0.005210202925348233,Financial and investment analysts,41.8,1.4,84.5,86475,0.43797685123208246
850,Customs and Border Protection Officers,5.165159925286673e-05,0.005165159925286673,Police officers,13.9,0.9,83.1,64004,0.2529287898552318
851,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5.13345036139539e-05,0.00513345036139539,Purchasing agents except wholesale retail and farm products,52.6,1.7,92.5,61882,1.0000000000000002
852,Industrial Production Managers,5.100200572076071e-05,0.005100200572076071,Industrial production managers,23.4,1.4,89.5,81724,1.0
853,Costume Attendants,5.095724668615548e-05,0.005095724668615548,Flight attendants,71.2,3.9,85.6,51583,0.35049132856020393
854,Forest Fire Inspectors and Prevention Specialists,5.018501120539963e-05,0.005018501120539963,Fire inspectors,10.3,3.1,(X),72702,0.6201250469310702
855,Packaging and Filling Machine Operators and Tenders,4.989949150998066e-05,0.004989949150998066,Packaging and filling machine operators and tenders,52.8,2.0,82.6,33571,1.0
856,Technical Writers,4.923632437023405e-05,0.004923632437023405,Technical writers,56.1,3.8,93.9,82147,1.0
857,Fundraisers,4.85433497070355e-05,0.00485433497070355,Fundraisers,72.9,2.5,84.6,77105,1.0
858,Bartenders,4.673069208741627e-05,0.004673069208741627,Bartenders,49.3,2.2,85.2,34599,1.0
859,Cost Estimators,4.477661457089578e-05,0.004477661457089578,Cost estimators,16.0,1.8,76.9,62419,1.0000000000000002
860,Dancers,4.435141216426947e-05,0.004435141216426948,Dancers and choreographers,71.2,10.2,(X),52434,0.697078617559136
861,Hospitalists,4.430665185726761e-05,0.0044306651857267615,Total,43.5,0.1,82,51400,0.0
862,Animal Control Workers,4.219331388984435e-05,0.004219331388984435,Animal control workers,37.8,10.8,(X),47627,1.0
863,Driver/Sales Workers,4.177995029501687e-05,0.004177995029501687,Sales managers,30.9,1.2,71.1,86475,0.4211760326641466
864,Chief Sustainability Officers,4.056846133481386e-05,0.004056846133481386,Chief executives,28.6,0.7,77.8,136126,0.42360244691425264
865,"Health Specialties Teachers, Postsecondary",3.960467646283509e-05,0.003960467646283509,Postsecondary teachers,48.1,0.8,84.8,75212,0.566087017437534
866,"Philosophy and Religion Teachers, Postsecondary",3.885796209194748e-05,0.0038857962091947483,Postsecondary teachers,48.1,0.8,84.8,75212,0.5021772064533873
867,"Foreign Language and Literature Teachers, Postsecondary",3.854939371423298e-05,0.0038549393714232983,Postsecondary teachers,48.1,0.8,84.8,75212,0.4530741172950137
868,"Mathematical Science Teachers, Postsecondary",3.824522971750451e-05,0.003824522971750451,Postsecondary teachers,48.1,0.8,84.8,75212,0.5584814545957899
869,Clergy,3.795190889916188e-05,0.0037951908899161884,Clergy,15.1,1.0,95.8,50724,1.0
870,Judicial Law Clerks,3.752212659581116e-05,0.0037522126595811163,Judicial law clerks,78.5,5.3,(X),57254,1.0
871,"Graders and Sorters, Agricultural Products",3.706684159331586e-05,0.0037066841593315857,Graders and sorters agricultural products,65.4,5.7,72.8,30267,1.0
872,Waiters and Waitresses,3.59477000994937e-05,0.0035947700099493696,Waiters and waitresses,63.3,1.2,83.5,27070,1.0000000000000002
873,Helpers--Carpenters,3.23968637008575e-05,0.0032396863700857497,Carpenters,1.9,0.3,69.8,32484,0.7547206746496193
874,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",3.118171576401221e-05,0.0031181715764012213,Plasterers and stucco masons,0.4,0.6,-,-,0.7286212924125914
875,Slaughterers and Meat Packers,2.530017875521619e-05,0.002530017875521619,Packers and packagers hand,55.8,1.5,93,30831,0.3467552796001642
